id,location
HORSE22409,initial
SALMN07287,initial
BALMU13078,initial
SOLIN07479,initial
SALSA77450,helix1
MACMU12547,helix1
CAEBE22485,helix2
MELHA10842,helix2
TOXCA05105,helix2
CRAGI23693,helix2
OCTBM05754,helix2
SPAAU48436,helix2
ESOLU66690,helix2
SALTR55756,helix2
IXOSC05205,helix2
SCHMA07026,helix2
BRAFL13025,helix3
STRRB03106,helix3
STEMI08080,helix4
IXOSC05205,helix4
ROMCU28665,helix4
DAPPU07377,helix4
LEPSM11605,helix5
CULQU10947,helix5
VARCO19786,helix5
PRICU09336,helix5
TRISP07354,helix5
TRIPJ02473,helix5
CALJA19069,final
